text,ECON,CULT
The transitional provisions of the Federal Constitution are to be amended as follows: Swiss agriculture will remain free of genetic engineering for a period of five years following the adoption of this article. Genetically modified plants (including seeds) and animals intended for agricultural use may neither be imported nor placed on the market.,-0.34 ,0.47 
"The revised labor law permits the employment of staff without a permit in sales outlets and service establishments at airports and train stations ""which are centers of public transport due to the high volume of travel."" This provision applies to all train stations that generate annual revenue of at least CHF 20 million from passenger transport, as well as other train stations classified by the cantons as regionally important. The relaxation also applies to all airports with scheduled flight operations. Around 2,500 employees are directly affected.",0.51 ,-0.29 
"The new framework article for education policy contains the following most important provisions: The Confederation and the cantons jointly ensure quality and permeability in the Swiss education system. They coordinate their efforts and ensure their cooperation through joint bodies. If harmonization cannot be achieved through coordination in the areas of school entry age, compulsory schooling, duration and objectives of educational levels, and recognition of qualifications, the Confederation shall issue the necessary regulations. Likewise, the Confederation regulates vocational education and training and, together with the cantons, ensures coordination in higher education.",-0.30 ,0.35 
"The initiative calls for a change to the current distribution key for National Bank income in Article 99, paragraph 4 of the Federal Constitution. In the future, the annual National Bank profits – less the annual transfer of one billion Swiss francs to the cantons – will be distributed to the Old Age and Survivors' Insurance (AHV) fund.",-0.55 ,0.00 
"The decrees primarily aim to tighten immigration and asylum policy. The new Foreign Nationals Act contains the following key points: 1. Persons not from EU and EFTA states are only admitted to the Swiss labor market if they have special professional qualifications (dual admission system); 2. Family reunification is being newly regulated, but is only partially simplified for persons from these states; 3. Changing professions, jobs, and cantons for foreign nationals who have already been admitted is being simplified; 4. Measures against abuses such as human trafficking, undeclared work, and marriages of convenience are being strengthened.
",0.37 ,-0.59 
"The revised Asylum Act contains the following key points: 1. Provisions regarding a third-country rule: In principle, Switzerland will no longer consider asylum applications from persons who have resided in a third country considered safe before submitting their application; 2. Applications from asylum seekers without valid identity documents will no longer be processed if they do not present the relevant documents within 48 hours of submitting their application or if they cannot credibly justify their lack of identity documents; 3. Asylum seekers with a non-admission decision will only receive emergency assistance instead of social assistance; 4. Coercive measures in enforcement will be tightened, for example by extending deportation detention; 5. However, the legal status of temporarily admitted persons will be improved. They will be allowed to work again and will be granted the right to family reunification after three years.",0.32 ,-0.60 
The federal law contains the following provisions: The Confederation shall take measures suitable to support the states of Eastern Europe in their efforts to build and consolidate democracy and in their transition to a market economy. Cooperation may take a technical or financial form. The funds to finance these measures are approved by the Federal Assembly as framework credits for several years at a time. The Federal Council may conclude international treaties and determine the general principles of cooperation with states and international organizations. This law shall apply for a period of ten years.,-0.20 ,0.42 
"Family allowances were and remain, in principle, regulated at the cantonal level. The federal law on family allowances, which is currently up for vote, harmonizes cantonal regulations and reduces differences between the cantons. It guarantees a monthly child allowance of at least CHF 200 for all children of employees (up to their 16th birthday) and a training allowance of CHF 250 (for 16- to 25-year-olds in training). Non-working people with low incomes (CHF 30,000 annually) throughout Switzerland will now also receive family allowances. The cantons can go beyond the federal minimum regulations and align their family allowances with other cantonal benefits for parents. The current financing method – employers paying for family allowances – remains in place, but the cantons can change this.",-0.51 ,0.08 
"The initiators want to amend Article 117, Paragraph 3 of the Federal Constitution to oblige the federal government to establish a single fund for compulsory health insurance (basic insurance) and to set premiums based on the insured's income and assets. The initiative's text then regulates the single fund's management structure (equal representation of authorities, service providers, and the interests of the insured), the single fund's scope of activity (it may not offer supplementary insurance), and the transition from the current system with multiple insurers to a single fund within three years.",-0.87 ,0.34 
"The fifth revision of the IVG pursues two main goals: More disabled people will remain employed, and IV expenditures will be reduced. Specifically, the fifth IV revision introduces, first, a system of early detection and intervention. Integration measures such as retraining, job placement, and career counseling will be implemented more quickly, and support from specialists will be intensified. Furthermore, employers can now also report impending disability; they will receive professional and financial support to ensure continued employment or the integration of disabled people. Since a large portion of the new pensions will be awarded to people with mental disabilities, efforts to ensure their continued employment or integration will be intensified. In the future, only those who, despite all reasonable efforts, can no longer be employed will receive a pension. Second, the IV is reducing its spending with the following targeted benefit restrictions: cancellation of ongoing supplementary pensions for spouses of IV pensioners; no career supplement will be granted for new pensions (this has previously been granted to insured persons if they become disabled before they reach the age of 45); cancellation of daily allowances during rehabilitation measures for insured persons who were previously unemployed; financing of medical measures for the rehabilitation of those over 20 through health insurance instead of through the IV.",0.34 ,0.15 
"The initiative proposes adding a provision on noise protection to Article 74 of the Federal Constitution (Environmental Protection): ""In peacetime, no military exercises involving fighter jets may be conducted in tourist areas.""",-0.04 ,0.65 
"Parliament passed Corporate Tax Reform II, which in particular partially eliminates the double taxation of corporate profits (for the company and for shareholders) and provides relief for SMEs.",0.50 ,0.00 
The initiative calls for municipalities to be able to determine which authority decides on naturalization applications. This body's decision should be final and not subject to appeal.,0.00 ,-0.37 
"The initiative stipulates that the Federal Council and senior employees of the federal administration ""refrain from information and propaganda activities."" Only brief briefings by the heads of departments would be permitted. Federal funding for information campaigns would also have to be discontinued, with the exception of the voting booklet, which must be designed in a neutral manner.",0.10 ,-0.25 
"The new constitutional article primarily rewrites current laws. It stipulates that healthcare must be appropriate, effective, and cost-effective. Transparency and competition are established as central principles for health insurance.",0.36 ,0.00 
"The Federal Constitution is to be supplemented by Article 123b, which stipulates that the prosecution of sexual and pornographic crimes against children before puberty and the punishment for such crimes are not subject to a statute of limitations.",0.00 ,-0.60 
"The text of the initiative proposes granting entitlement to an old-age pension to individuals who have reached the age of 62, provided they cease to work. However, the law would establish an income allowance up to which they may continue to work. If the insured person's earned income does not exceed one and a half times the maximum pensionable income, the pension should not be reduced in the event of early retirement. Upon reaching the age of 65, an unconditional entitlement to an old-age pension continues to arise.",-0.66 ,0.19 
"The aim of the initiative is to restrict the right of associations to file complaints in environmental and spatial planning matters against projects that have been approved by popular or parliamentary referendums at the municipal, cantonal, and federal levels.",0.36 ,-0.48 
"As an addition to Article 105 (Alcohol), the popular initiative proposes a new section on hemp. It stipulates that the consumption, acquisition, and cultivation of psychoactive marijuana are exempt from criminal penalties. The cultivation, trade, import, and export of psychoactive hemp are to be regulated by the federal government. The fourth section calls for a ban on advertising for drug-related cannabis and appropriate measures to protect minors.",0.07 ,0.86 
"The revision aims to enshrine current drug policy in law. The four pillars of prevention, treatment, harm reduction, and repression are spelled out in detail, and responsibilities are defined. The distribution of heroin to addicts is explicitly provided for, but subject to conditions: Heroin may only be prescribed if all other treatment options have failed. However, heroin remains on the list of prohibited substances. This is causing criticism, as the same law treats the substance as a covered drug. The legislation for cannabis will not be amended.",-0.30 ,0.40 
"With this federal resolution, the Federal Council and Parliament are requesting, on the one hand, the indefinite continuation of the Agreement on the Free Movement of Persons, which was initially introduced in 2002 with a seven-year time limit. On the other hand, the proposal includes the extension of the agreement to the new EU member states Romania and Bulgaria. Since the agreement is linked to the other agreements of the Bilateral I Agreement, the vote will also decide on the continuation of the Bilateral I Agreement.",0.24 ,0.60 
"The federal government and cantons should, within their responsibilities, ensure the comprehensive consideration of complementary medicine. The referendum aims to definitively anchor alternative healing methods in basic health insurance under the Health Insurance Act (KVG) and improve the status of complementary medicine in education, teaching, and research.",-0.42 ,0.44 
"The federal decree is heavily influenced by the EU regulation. Only passports containing electronic storage media will be issued. Initially, only the facial profile will be stored, but fingerprints will be added later. Identity cards will not be equipped with memory chips for the time being. However, the law provides the Federal Council with the flexibility to introduce this by regulation. Regarding the central storage of biometric data, the federal decree goes beyond the EU regulation.",0.00 ,-0.48 
"Given this situation, the Federal Council considers it essential to develop additional sources of revenue for the disability insurance system. Therefore, in the fall of 2004, it submitted a draft for additional funding for the disability insurance system for consultation, simultaneously with the proposal for the 5th revision of the disability insurance system. The Federal Council envisaged two possible financing options: an increase in value-added tax (VAT) or an increase in wage contributions. Based on the results of the consultation process, the Federal Council proposes in its dispatch a linear increase in VAT of 0.8 percentage points, with no contribution for the federal government.",-0.42 ,0.17 
"On February 9, 2003, the people and the cantons unanimously adopted the federal resolution of October 4, 2002, amending popular rights, thereby also approving the instrument of the general popular initiative. Meanwhile, the draft implementing legislation regulating the procedure for general popular initiatives has been submitted to the Federal Assembly. Overall, the procedure is complex and confusing, not least due to the requirements of the bicameral system. Such a complicated procedure is impractical and, in particular, time-consuming. A process for implementing a popular request that takes over seven years and is difficult for outsiders to understand undermines trust in political institutions.

It is therefore proposed that the people and the cantons, aware of the complex nature of the new popular right, be allowed to vote on it again. The constitutional provisions concerning general popular initiatives should be deleted.",0.00 ,-0.23 
"The new constitutional article stipulates that half of the revenue from the aviation fuel tax should be invested in measures in the areas of environmental protection, technical safety in air traffic, and measures against terrorist attacks on air traffic. Measures that are the responsibility of state authorities are exempt from the latter area.",-0.42 ,0.24 
"The initiative calls for a constitutional article prohibiting the export of war material, special military goods, and intangible goods used in the production of war material (blueprints or technologies). Sports and hunting weapons, as well as equipment for humanitarian demining, would be exempt from the ban. As a transitional provision, the federal government would support the affected workers and regions for 10 years.",-0.62 ,0.53 
The initiative wants to ban the construction of minarets by constitutional article.,0.00 ,-1.00 
"The new Article 118b of the Federal Constitution empowers the federal government to issue regulations to protect human dignity and personality in research involving human beings. It also establishes principles for the information and protection of participants, as well as for scientific freedom.",-0.21 ,0.20 
"Entitled ""Against the mistreatment of animals and for better legal protection of the latter"", the latter aims to enshrine in the Constitution the fact that in the event of criminal proceedings motivated by mistreatment of animals, or by other violations of animal protection legislation, the cantons will provide themselves with a lawyer responsible for defending the interests of animals.",-0.28 ,0.73 
The minimum conversion rate for occupational pensions is to be reduced from 7.1% to 6.4% within five years.,0.47 ,-0.03 
"To restore the financial balance of unemployment insurance, the standard contribution rate will be increased from 2 to 2.2 percent, and benefits will be reduced by approximately CHF 500 million. To reduce debt, the contribution rate will be temporarily increased from 2.2 to 2.3 percent, and a solidarity contribution of 1 percent will be introduced.",0.22 ,-0.03 
"The initiative provides for automatic deportation if foreign nationals commit one of the following offenses in Switzerland: intentional homicide or murder, a serious sexual offense, another violent offense such as robbery, human trafficking, drug trafficking, or burglary. Those who have improperly received social assistance or social security benefits should also be deported.
The direct counter-proposal formulates the list of offenses more precisely. The list now only includes offenses defined in the criminal code. In addition, a general provision is introduced stating that a conviction to a prison sentence of at least one year will result in deportation. The severity of the offense in each individual case should be decisive for the withdrawal of the right of residence. Furthermore, the counter-proposal includes a vaguely worded second article that defines the integration of the foreign population.",0.20 ,-0.85 
"This initiative aims to limit tax competition between cantons and municipalities. The proposed regulation includes the following points: The marginal tax rate for taxable income of CHF 250,000 or more should be at least 22% in all cantons, and the rate for assets of CHF 2 million or more should be at least 0.5%. Furthermore, a ban on degressive tax models should be enshrined in the constitution.",-0.60 ,0.03 
"In addition to banning the private storage of military weapons, this calls for stricter gun laws. In particular, proof of need is required for gun ownership and acquisition and the introduction of a national gun registry is mandated.",-0.13 ,0.36 
"A new article in the Federal Constitution is intended to stipulate that the proportion of second homes in a municipality's total housing stock and gross floor area used for residential purposes must be limited to a maximum of 20 percent. By law, municipalities are to be required to continuously publish their primary residence share plan and the detailed status of implementation.",-0.60 ,0.38 
"The initiative calls for all cantons to be able to exempt building savings deposits from wealth tax for a maximum of ten consecutive years, as well as exempt the interest accrued on this capital from income tax. Furthermore, building savings deposits should be able to receive a certain amount of tax relief for energy-saving and environmental protection measures on residential property. If the building savings deposits are not used for their intended purpose, they should be subject to retroactive taxation.",0.38 ,0.07 
A popular initiative for at least six weeks of vacation for all working people.,-0.78 ,0.35 
This enshrined the cantons’ lottery monopoly in the Federal Constitution (BV) and provided for the exclusive use of profits for charitable purposes.,-0.42 ,0.24 
"The Federal Act on Book Price Promotion provides for the promotion of books as a cultural asset through the reintroduction of fixed book prices. For a minimum period of 18 months, prices will be tied to a fixed price set by publishers or importers. Booksellers may offer a discount of up to 5% on these prices. The Price Supervisor reserves the right to object in the event of excessive price differences compared to foreign countries. The law also applies to online trading.",-0.59 ,0.48 
"The HEV initiative (hereinafter referred to as the HEV initiative) is less far-reaching in content than the previous SGFB initiative (see Bill 556). It is limited to tax privileges for building savings deposits for the first-time purchase of owner-occupied residential property in Switzerland (maximum CHF 10,000 per year, double for married couples) for a maximum of ten years. In contrast to the SGFB initiative, it is not merely optional, but mandatory at the federal and cantonal levels.",0.48 ,-0.23 
"It calls for international treaties containing ""important"" legislative norms or provisions whose implementation requires a revision of the law to be subject to an optional referendum. Accordingly, the same principles should apply as for domestic legislation: A legislative act is considered important if it is not delegated to the executive (such as a regulation).",0.16 ,-0.46 
"The proposed amendment to the Health Insurance Act provides for the creation of integrated healthcare networks with their own budgetary authority, a so-called managed care model. This is intended to complement existing insurance models and be voluntary. These healthcare networks are to include doctors, specialists, hospitals, and other service providers. Those insured under such a model should be able to receive healthcare services exclusively within the network, provided the necessary service is available there. To this end, the contractual obligation between insurers and service providers would be abolished. In return, the deductible for the affected person is to be reduced.",0.30 ,0.10 
"A new constitutional article defines the promotion of musical education, especially for children and young people, as a joint responsibility of the federal government and the cantons. The federal government takes action when coordination between the cantons regarding the harmonization of the goals of music school instruction fails. Furthermore, with the cooperation of the cantons, it establishes principles for young people's access to music and for the promotion of musically gifted individuals.",-0.30 ,0.52 
"The popular initiative ""Secure Housing in Old Age"" calls for pensioners to be given a one-time option to waive taxation on the imputed rental value of owner-occupied residential properties. In return, interest on debt and other costs will no longer be deductible, except for an annual maintenance contribution of CHF 4,000. Costs for measures aimed at energy conservation, environmental protection, or historic preservation will continue to be fully deductible.",0.50 ,-0.40 
"A new constitutional article would regulate ""protection against passive smoking."" Smoking would be prohibited in all indoor spaces that are publicly accessible or that serve as workplaces. Restaurants that operate as smoking establishments would no longer be permitted if the initiative was passed. The initiative provides for exceptions to this rule to be made through legislation. Smoking rooms would only be permitted if they were self-service.",-0.40 ,0.54 
"The amended Animal Diseases Act gives the federal government more powers in the area of ​​animal disease prevention. It can now operate vaccination banks and distribute vaccines free of charge or at a reduced price. If an animal owner has to slaughter an animal in an emergency, the federal government must pay a fee, which it invests in the prevention of dangerous diseases. Furthermore, the door-to-door sale of all animals is prohibited.",-0.39 ,0.42 
"The new constitutional article on family policy requires the federal government and cantons to promote the compatibility of employment or education with family life. To this end, the cantons must ensure a needs-based supply of childcare places that complement family and school attendance. The federal government can intervene if the cantons fail to fulfill their constitutional mandate and efforts by third parties are insufficient.",-0.51 ,0.60 
"The initiative requires listed companies to allow the general meeting to vote on the compensation of their executive board members. Furthermore, the general meeting should allow the members of the board of directors to be elected individually and annually. Furthermore, the initiative calls for regulations governing the employment conditions of members of corporate executive boards. Penalties for violations are set out in the initiative text, as is the demand for these regulations to be enshrined in law.",-0.68 ,0.20 
"The revised Spatial Planning Act (SPA) aims to curb the development of agricultural land with a series of measures. Accordingly, cantons are bound by federal guidelines when developing their structure plans, with the zoned building land not exceeding the estimated building needs for the next 15 years. In addition, cantons must demonstrate how they intend to promote sustainable settlement development. When agricultural land is rezoned to building land, a levy of 20% of the increase in value (so-called added-value levy) must now be paid. This is used to compensate landowners whose land loses value due to rezoning. The cantons have five years to adapt their structure plans accordingly.",-0.60 ,0.50 
"The initiative calls for the Federal Council to be elected by the people, rather than by the Federal Assembly. The election would take place as a majority vote in a single nationwide constituency, concurrently with the National Council election. At least two seats in the Federal Council would be reserved for candidates residing in a French- or Italian-speaking canton, or in the non-German-speaking part of a multilingual canton. The Federal Presidency and Vice-Presidency would no longer be elected by the Federal Assembly, but by the Federal Council.",0.00 ,0.42 
"According to these urgent changes, in cases of conscientious objection and desertion, further asylum-relevant reasons are required to obtain refugee status, while maintaining the principle of non-refoulement. The possibility of submitting an asylum application to a Swiss representation abroad will be abolished, and recalcitrant asylum seekers will be housed in special centers. The new Article 26a also stipulates that asylum seekers can be housed in federal facilities and buildings for a maximum of three years without cantonal or municipal authorization. Finally, the Federal Council can issue ordinances to establish test phases to evaluate new procedures in the asylum system.",0.00 ,-0.68 
The aim of the initiative is to abolish compulsory military service and replace the current model with a volunteer militia.,-0.13 ,0.72 
"The proposal proposes a structural and substantive modernization of the Epidemics Act of 1970. This covers various areas of prevention, detection, and control of communicable diseases and epidemics. Measures are also planned to combat increasing antibiotic resistance, and responsibilities between the federal government and the cantons are being redefined. Discussions are particularly focused on information on sexually transmitted diseases in school classes and the adjustment of mandatory vaccinations for certain groups of people, which should be made if necessary.",-0.30 ,0.39 
"The Labor Code will be amended so that gas station shops located at motorway service stations or on major routes with heavy travel, and whose range of goods and services is primarily geared towards the needs of travelers, will now be permitted to sell their entire range around the clock.",0.57 ,-0.18 
"The initiators want to limit the highest wage paid in a company to twelve times the lowest wage paid in the same company. Exceptions are planned for apprentices, interns, and people with sheltered jobs.",-0.90 ,0.40 
The Family Initiative proposes that parents who care for their children themselves should be granted a tax deduction that is at least as high as that granted to parents who have their children cared for externally.,0.26 ,-0.52 
"The amendment to the Federal Highway Fee Act provides for an increase in the annual vignette price from CHF 40 to CHF 100, as well as the introduction of a two-month vignette priced at CHF 40. This is linked to the amendment to the network resolution, which Parliament has made contingent on a positive vote on the vignette price increase. This resolution is intended to incorporate almost 400 kilometers of cantonal road into the federal highway network and provides for the inclusion of two new sections near Lausanne and Zurich, as well as the construction of several bypasses.",0.34 ,0.00 
"The Federal Decree on the Financing and Expansion of Rail Infrastructure (FABI) specifically provides for the creation of a Rail Infrastructure Fund (BIF), through which the operation, maintenance, and expansion of rail infrastructure will be financed. This fund will be funded, among other things, by contributions from the federal and cantonal governments, shares of value-added tax and mineral oil tax, and the heavy vehicle fee (HVF).",-0.41 ,0.09 
"The popular initiative calls for abortions and multiple fetal reductions to no longer be included in the mandatory basic health insurance, subject to ""rare exceptions.""",0.24 ,-0.87 
"The popular initiative ""against mass immigration"" demands that Switzerland control and limit its immigration through maximum numbers and quotas, while taking the country's overall economic interests into account. No further international agreements that contradict this goal should be permitted. A transitional provision further stipulates that existing international agreements that contradict the objectives of the initiative must be renegotiated within three years of the adoption of the popular initiative.",0.50 ,-0.85 
"The federal decree provides for the creation of a constitutional basis that recognizes family medicine as part of primary health care and obligates the federal government and cantons to specifically promote family medicine. Furthermore, the federal government is to issue regulations regarding appropriate compensation for family medicine services.",-0.38 ,0.15 
The popular initiative demands that persons convicted of violating the sexual integrity of a child or dependent person be forced to permanently lose the right to work with children or vulnerable persons.,0.00 ,-0.80 
"The initiative aims to oblige the federal government and the cantons to protect wages and set a statutory minimum wage. A figure is not specified in the initiative text, but in the debate surrounding the initiative, unions are demanding 22 francs per hour or 4,000 francs per month.",-0.85 ,0.26 
"The federal law on the creation of a fund for the procurement of the Gripen (Gripen Fund Law) provides the basis for financing the 22 fighter aircraft. The fund is to be funded from the regular annual defense budgets. Formally, the vote will be on the financing of the Gripen purchase, not on the purchase itself. In practice, however, the procurement is at the center of the vote, which the Federal Council also recognized in the run-up to the campaign.",0.28 ,-0.38 
"The popular initiative ""End VAT Discrimination Against the Hospitality Industry!"" calls for equal tax treatment of the supply of food and hospitality services, particularly with regard to VAT. Exempt from this demand are the taxation of alcoholic beverages, tobacco, and smoking products.",0.47 ,0.03 
"The popular initiative ""For a Public Health Insurance Scheme"" calls for the introduction of a unified, public health insurance scheme, to be managed by the federal government, cantons, insured persons, and service providers. The scheme would be responsible for setting uniform, cost-based premiums per canton, as well as for collecting them and reimbursing services. However, the organization of supplementary insurance schemes is not addressed by the initiative.",-0.77 ,0.28 
The popular initiative aims to prohibit taxation based on expenditure (flat-rate taxation) by introducing a corresponding constitutional provision at the national and cantonal levels. Any other form of tax privileges for individuals should also be declared inadmissible. This is intended to end what the initiators consider to be the offensive unequal treatment of taxpayers.,-0.76 ,0.10 
"The initiative aims to limit net immigration to 0.2% of the total population. Furthermore, the federal government should invest 10% of its development aid expenditures in promoting voluntary family planning. Furthermore, the federal government should not conclude or continue any international treaties that contradict the text of the initiative.",0.44 ,-0.74 
"The Gold Initiative requires the Swiss National Bank to hold at least 20% of its assets in gold. Furthermore, once acquired, gold reserves cannot be resold. The SNB should also be required to store all of its gold reserves in Switzerland.",0.70 ,-0.60 
"The constitutional provision according to which the federal government can issue regulations on family allowances should be supplemented by a sentence: ""Child and training allowances are tax-free.""",0.24 ,0.00 
"The federal government should be given the authority to levy a tax per kilowatt-hour of primary energy on domestic and imported non-renewable energy sources. The revenue should correspond to a fixed percentage of gross domestic product. Different tax rates can be set for different energy sources. Portions of the revenue should be used, if necessary, to support the old-age and survivors' insurance (AHV) and to provide relief for lower-income groups. All provisions regarding value-added tax (VAT) should be removed from the Federal Constitution no later than five years after the initiative is adopted.",-0.18 ,0.57 
"According to the amended constitutional article on reproductive medicine, instead of just three embryos, the number of embryos that may be developed is now limited to ""as many as are necessary for medically assisted reproduction."" This is the basis for the liberalization of preimplantation genetic diagnosis, the details of which will be regulated in an implementing law.",0.03 ,0.78 
"The initiative stipulates that the federal government, rather than the cantons, will now be responsible for legislation on scholarship awards. It also requires that educational grants enable recipients to maintain a minimum standard of living. The federal government will be authorized to support the cantons at other levels of education and to promote intercantonal harmonization. The initiators expect that an additional CHF 500 million would flow to students annually in the form of scholarships, and that a significantly higher proportion of students would be eligible for scholarships.",-0.71 ,0.33 
"The initiative calls for the nationwide introduction of a 20 percent inheritance and gift tax on assets exceeding two million francs. Gifts of up to 20,000 francs per year per person are exempt from the tax, as are gifts to spouses and registered partners. In order not to jeopardize the continued existence of inherited businesses, special reductions are to be granted for these. The retroactive clause stipulates that gifts made from the beginning of 2012 onwards are to be included in the estate. Two-thirds of the revenue from the new federal tax is to go to the AHV equalization fund, with the remainder remaining with the cantons. Since the revenue from the tax called for by the initiative is estimated at a total of around 3 billion francs, the cantons' overall revenues would not change significantly.",-0.86 ,0.19 
"The amendment to the Radio and Television Act (RTVG) stipulates that the device-dependent reception fee will be replaced by a general fee. The system change is intended to be revenue-neutral – by distributing the fees among more payers, the fee for individuals will decrease from CHF 462 to around CHF 400 per year, the Federal Council announced. In addition, the share of private radio and television stations in the distribution of the fees is to increase.",-0.20 ,0.08 
"The Federal Constitution should stipulate that marriage must not be discriminated against compared to other forms of marriage, particularly with regard to taxes and social security. Marriage is defined as the life partnership of a man and a woman.",0.23 ,-0.65 
"The Enforcement Initiative adds a specific list of crimes to the Federal Constitution that, when committed by foreign nationals, automatically result in expulsion from the country. Courts may only refrain from expulsion for these offenses if the offense was committed in excusable self-defense or in a state of excusable necessity. Those expelled from the country will also be subject to an entry ban of five to 15 years.",0.06 ,-0.72 
"An article should be included in the Federal Constitution prohibiting banks, insurance companies, and other actors from investing in financial instruments related to agricultural commodities or food. Furthermore, the federal government should work internationally to combat such transactions.",-0.79 ,0.35 
"The proposed amendment to the Federal Act on Road Transit Traffic in the Alpine Region provides for the construction of a second tunnel for the rehabilitation of the Gotthard Road Tunnel. However, it stipulates that only one lane may be operated in each direction at any one time.",0.09 ,-0.03 
"The initiative stipulates that the ""federal government and federally affiliated companies may not pursue profit in the area of ​​basic services."" Cross-subsidizing other administrative areas with surpluses from basic services is prohibited. Furthermore, wages in these companies may no longer exceed those in the federal administration.",-0.92 ,0.26 
"The initiative proposes that the federal government ensure the introduction of an unconditional basic income that will enable the Swiss population to live a ""dignified existence and participate in public life."" The initiative leaves it to the legislature to determine the amount and method of financing the basic income.",-0.95 ,0.85 
"The initiative calls for 100% of road traffic taxes and levies to be earmarked for road traffic. To date, only half of this revenue has been earmarked. Furthermore, a mandatory referendum should be introduced for new road traffic taxes and for increases in existing ones.",0.52 ,-0.23 
The current ban on preimplantation genetic diagnosis (PGD) is to be relaxed. Couples who are unable to conceive naturally or who suffer from a serious hereditary disease should be able to use PGD. This would allow artificially conceived embryos to be genetically tested before being implanted in the uterus. The liberalization applies to a relatively narrow list of permissible cases.,0.00 ,0.68 
"The restructuring of the asylum sector provides for significantly expedited asylum procedures. The majority of procedures will now be completed within 140 days in federal centers. To this end, all relevant actors in the asylum process will be represented in these centers. In order to guarantee fair procedures despite shortened appeal deadlines, asylum seekers will also receive free legal representation. The construction of these new federal centers will be ensured through a new planning approval procedure under federal law.",-0.20 ,0.51 
"The Federal Constitution is to be amended to include an article stating that the Confederation, cantons, and municipalities strive for a sustainable and resource-efficient economy. The transitional provisions stipulate that Switzerland's ""ecological footprint"" must be reduced so that, extrapolated to the world population, it does not exceed one Earth by 2050.",-0.60 ,0.70 
"AHV pensions are to be increased by 10 percent across the board. For an average insured person, this would correspond to approximately 200 francs per month.",-0.70 ,0.00 
"The new Federal Intelligence Service Act, comprising 88 articles, provides the legal basis for the activities of the Federal Intelligence Service (FIS). It regulates the introduction of new information gathering measures, such as telephone surveillance, which may be used in cases of suspected terrorism, prohibited intelligence activities, proliferation, attacks on critical infrastructure, or to protect essential national interests. According to the law, these new information gathering methods can only be used if a specific, serious threat requires it and they have been approved in a multi-stage approval process.",0.00 ,-0.62 
"The ""Nuclear Phase-out Initiative"" calls for a ban on the construction of new nuclear power plants. Furthermore, the operating life of existing nuclear power plants should be limited to a maximum of 45 years. If approved, the three oldest nuclear power plants would have to be shut down within one year of the vote. The last Swiss nuclear power plant, the Leibstadt nuclear power plant, would be taken offline in 2029. The initiative also demands that the federal government align its energy policy with lower consumption, greater efficiency, and renewable energies.",-0.39 ,0.62 
"Voters will decide on the amendment to Article 38 of the Federal Constitution. In addition to facilitating the naturalization of stateless children, the federal government will now also facilitate the naturalization of third-generation foreigners. Unlike normal naturalization, for which the cantons are responsible, simplified naturalization is granted by the federal government. Only those foreigners who meet the requirements stipulated in the law (see above) can apply for simplified naturalization. The amendment to the law is not directly subject to the vote, but it will only enter into force if the necessary amendment to the Federal Constitution is approved by the people and the cantons.",0,0.64 
"The fund for national roads and urban transport, enshrined in the constitution, is intended to finance ""adequate road infrastructure in all regions of the country"" and will be funded by the automobile tax, the national road tax (vignette), an increase in the mineral oil tax surcharge, and a new tax on electric vehicles.",0.25 ,-0.31 
"The reduced tax rate for special status companies will be abolished. To prevent the relocation of companies, the cantons will be given the opportunity to implement new, internationally recognized tax policy measures. These include, among others, the patent box, deductions for research and development, and the interest-adjusted profit tax. To enable the cantons to further reduce their profit taxes, their share of direct federal tax will be increased from 17.0 to 21.2 percent.",0.47 ,0.03 
"The Energy Act, comprised of 77 articles, pursues the goal of a safe, economical, and environmentally friendly energy supply. It provides for measures to reduce CO2 emissions from vehicles and to improve the energy efficiency of buildings. Nuclear power plants may be operated as long as they are safe. The construction of new nuclear power plants is prohibited. Electricity production from renewable energies is promoted through various measures. The cantons must provide for rapid licensing procedures for renewable energy facilities.",-0.40 ,0.50 
"The counter-proposal calls for ensuring the population's food supply. To this end, the federal government should create the conditions for safeguarding arable land, ensuring production tailored to location and market needs, and ensuring resource-efficient use of food. Furthermore, the federal government should facilitate cross-border trade relations that contribute to the sustainable development of the agricultural and food industries.",-0.07 ,0.19 
"Two formally separate proposals are up for vote: the VAT increase and the 2020 Pension Act, which are, however, linked: The changes will only come into effect if both proposals are passed. To close the AHV funding gap, the AHV will receive the entire VAT percentage collected from 2018 onwards, as well as the 0.3 VAT percentage points that previously went to the IV (disability insurance). In 2021, VAT will also be increased by 0.3 percentage points to 8.3% to benefit the AHV. In addition, AHV wage contributions for employers and employees will increase by 0.15 percentage points each. On the benefits side, the retirement age for women will be increased from 64 to 65, and the minimum conversion rate in the second pillar will be reduced from 6.8 percent to 6.0 percent. At the same time, flexible and gradual retirement between the ages of 62 and 70 will be made possible. Monthly AHV retirement pensions are to be increased by 70 francs, and the upper limit for married couples' pensions is to be raised from 150 to 155 percent of the maximum retirement pension.
Several reform measures of lesser scope are
also included in the comprehensive package.",-0.40 ,0.19 
"By amending the relevant articles of the Federal Constitution, the authority to levy direct federal taxes and value-added tax will be extended until the end of 2035. In addition, a transitional provision on beer tax that has become superfluous will be deleted from the Constitution.",-0.17 ,0.00 
"The initiative aims to deprive the federal government of the authority to collect radio and television license fees or to commission third parties to do so. Radio and television licenses should be auctioned regularly, and federal subsidies for radio and television stations should be prohibited. The initiative also prohibits the federal government from operating its own radio and television stations during peacetime.",0.73 ,0.36 
